Prompt,Expected,Is in top 1?,Is in top 5?
Find the passage in the book where the whale is skinned,"{""id"": 661, ""text"": "" When instantly, the entire ship careens over on her side; every bolt in her starts like the nail-heads of an old house in frosty weather; she trembles, quivers, and nods her frighted mast-heads to the sky. More and more she leans over to the whale, while every gasping heave of the windlass is answered by a helping heave from the billows; till at last, a swift, startling snap is heard; with a great swash the ship rolls upwards and backwards from the whale, and the triumphant tackle rises into sight dragging after it the disengaged semicircular end of the first strip of blubber. Now as the blubber envelopes the whale precisely as the rind does an orange, so is it stripped off from the body precisely as an orange is sometimes stripped by spiralizing it. For the strain constantly kept up by the windlass continually keeps the whale rolling over and over in the water, and as the blubber in one strip uniformly peels off along the line called the \u201cscarf,\u201d simultaneously cut by the spades of Starbuck and Stubb, the mates; and just as fast as it is thus peeled off, and indeed by that very act itself, it is all the time being hoisted higher and higher aloft till its upper end grazes the main-top; the men at the windlass then cease heaving, and for a moment or two the prodigious blood-dripping mass sways to and fro as if let down from the sky, and every one present must take good heed to dodge it when it swings, else it may box his ears and pitch him headlong overboard"", ""start"": 4255, ""end"": 4258}",False,False
Find the passage in the book where the whale looses a fin,"{""id"": 780, ""text"": "" It was a terrific, most pitiable, and maddening sight. The whale was now going head out, and sending his spout before him in a continual tormented jet; while his one poor fin beat his side in an agony of fright. Now to this hand, now to that, he yawed in his faltering flight, and still at every billow that he broke, he spasmodically sank in the sea, or sideways rolled towards the sky his one beating fin. So have I seen a bird with clipped wing making affrighted broken circles in the air, vainly striving to escape the piratical hawks. But the bird has a voice, and with plaintive cries will make known her fear; but the fear of this vast dumb brute of the sea, was chained up and enchanted in him; he had no voice, save that choking respiration through his spiracle, and this made the sight of him unspeakably pitiable; while still, in his amazing bulk, portcullis jaw, and omnipotent tail, there was enough to appal the stoutest man who so pitied"", ""start"": 4914, ""end"": 4918}",False,False
Find the passage in the book where the Ishmael introduces himself,"{""id"": 1, ""text"": "" \ufeff Call me Ishmael. Some years ago\u2014never mind how long precisely\u2014having little or no money in my purse, and nothing particular to interest me on shore, I thought I would sail about a little and see the watery part of the world. It is a way I have of driving off the spleen and regulating the circulation. Whenever I find myself growing grim about the mouth; whenever it is a damp, drizzly November in my soul; whenever I find myself involuntarily pausing before coffin warehouses, and bringing up the rear of every funeral I meet; and especially whenever my hypos get such an upper hand of me, that it requires a strong moral principle to prevent me from deliberately stepping into the street, and methodically knocking people\u2019s hats off\u2014then, I account it high time to get to sea as soon as I can"", ""start"": 1, ""end"": 4}",False,True
Find the passage in the book Ahab offers a reward for the first sighting of the whale,"{""id"": 946, ""text"": "" \u201cI see nothing here, but a round thing made of gold, and whoever raises a certain whale, this round thing belongs to him. So, what\u2019s all this staring been about? It is worth sixteen dollars, that\u2019s true; and at two cents the cigar, that\u2019s nine hundred and sixty cigars. I won\u2019t smoke dirty pipes like Stubb, but I like cigars, and here\u2019s nine hundred and sixty of them; so here goes Flask aloft to spy \u2019em out.\u201d "", ""start"": 5944, ""end"": 5947}",False,False
Find the passage in the book where the sailors hear a noise,"{""id"": 432, ""text"": ""  CHAPTER 43. Hark!  \u201cHIST! Did you hear that noise, Cabaco?\u201d  It was the middle-watch: a fair moonlight; the seamen were standing in a cordon, extending from one of the fresh-water butts in the waist, to the scuttle-butt near the taffrail. In this manner, they passed the buckets to fill the scuttle-butt. Standing, for the most part, on the hallowed precincts of the quarter-deck, they were careful not to speak or rustle their feet. From hand to hand, the buckets went in the deepest silence, only broken by the occasional flap of a sail, and the steady hum of the unceasingly advancing keel"", ""start"": 2858, ""end"": 2862}",True,True
Find the passage in the book where the other captain drops his instrument into the water after asking about the whale,"{""id"": 513, ""text"": "" \u201cShip ahoy! Have ye seen the White Whale?\u201d  But as the strange captain, leaning over the pallid bulwarks, was in the act of putting his trumpet to his mouth, it somehow fell from his hand into the sea; and the wind now rising amain, he in vain strove to make himself heard without it. Meantime his ship was still increasing the distance between. While in various silent ways the seamen of the Pequod were evincing their observance of this ominous incident at the first mere mention of the White Whale\u2019s name to another ship, Ahab for a moment paused; it almost seemed as though he would have lowered a boat to board the stranger, had not the threatening wind forbade. But taking advantage of his windward position, he again seized his trumpet, and knowing by her aspect that the stranger vessel was a Nantucketer and shortly bound home, he loudly hailed\u2014\u201cAhoy there! This is the Pequod, bound round the world! Tell them to address all future letters to the Pacific ocean! and this time three years, if I am not at home, tell them to address them to \u2014\u2014\u201d "", ""start"": 3372, ""end"": 3375}",False,False
Find the passage in the book where Captain Ahab gives his quarter-deck speech about killing the whale,"{""id"": 355, ""text"": "" While the mate was getting the hammer, Ahab, without speaking, was slowly rubbing the gold piece against the skirts of his jacket, as if to heighten its lustre, and without using any words was meanwhile lowly humming to himself, producing a sound so strangely muffled and inarticulate that it seemed the mechanical humming of the wheels of his vitality in him.  Receiving the top-maul from Starbuck, he advanced towards the main-mast with the hammer uplifted in one hand, exhibiting the gold with the other, and with a high raised voice exclaiming: \u201cWhosoever of ye raises me a white-headed whale with a wrinkled brow and a crooked jaw; whosoever of ye raises me that white-headed whale, with three holes punctured in his starboard fluke\u2014look ye, whosoever of ye raises me that same white whale, he shall have this gold ounce, my boys!\u201d  \u201cHuzza! huzza!\u201d cried the seamen, as with swinging tarpaulins they hailed the act of nailing the gold to the mast.  \u201cIt\u2019s a white whale, I say,\u201d resumed Ahab, as he threw down the topmaul: \u201ca white whale. Skin your eyes for him, men; look sharp for white water; if ye see but a bubble, sing out.\u201d "", ""start"": 2380, ""end"": 2384}",False,False
Find the passage in the book where Queequeg becomes ill and has the ship's carpenter build him a coffin,"{""id"": 1046, ""text"": "" Leaning over in his hammock, Queequeg long regarded the coffin with an attentive eye. He then called for his harpoon, had the wooden stock drawn from it, and then had the iron part placed in the coffin along with one of the paddles of his boat. All by his own request, also, biscuits were then ranged round the sides within: a flask of fresh water was placed at the head, and a small bag of woody earth scraped up in the hold at the foot; and a piece of sail-cloth being rolled up for a pillow, Queequeg now entreated to be lifted into his final bed, that he might make trial of its comforts, if any it had. He lay without moving a few minutes, then told one to go to his bag and bring out his little god, Yojo"", ""start"": 6561, ""end"": 6563}",True,True
Find the passage in the book where Captain Ahab's says his final words,"{""id"": 1267, ""text"": "" \u201cStand not by me, but stand under me, whoever you are that will now help Stubb; for Stubb, too, sticks here. I grin at thee, thou grinning whale! Who ever helped Stubb, or kept Stubb awake, but Stubb\u2019s own unwinking eye? And now poor Stubb goes to bed upon a mattrass that is all too soft; would it were stuffed with brushwood! I grin at thee, thou grinning whale! Look ye, sun, moon, and stars! I call ye assassins of as good a fellow as ever spouted up his ghost. For all that, I would yet ring glasses with ye, would ye but hand the cup! Oh, oh! oh, oh! thou grinning whale, but there\u2019ll be plenty of gulping soon! Why fly ye not, O Ahab! For me, off shoes and jacket to it; let Stubb die in his drawers! A most mouldy and over salted death, though;\u2014cherries! cherries! cherries! Oh, Flask, for one red cherry ere we die!\u201d  \u201cCherries? I only wish that we were where they grow. Oh, Stubb, I hope my poor mother\u2019s drawn my part-pay ere this; if not, few coppers will now come to her, for the voyage is up.\u201d "", ""start"": 7826, ""end"": 7830}",False,False
Find the passage in the book where Ishmael explains what a gam is,"{""id"": 524, ""text"": "" GAM. NOUN\u2014_A social meeting of two_ (_or more_) _Whaleships, generally on a cruising-ground; when, after exchanging hails, they exchange visits by boats\u2019 crews: the two captains remaining, for the time, on board of one ship, and the two chief mates on the other._  There is another little item about Gamming which must not be forgotten here. All professions have their own little peculiarities of detail; so has the whale fishery. In a pirate, man-of-war, or slave ship, when the captain is rowed anywhere in his boat, he always sits in the stern sheets on a comfortable, sometimes cushioned seat there, and often steers himself with a pretty little milliner\u2019s tiller decorated with gay cords and ribbons. But the whale-boat has no seat astern, no sofa of that sort whatever, and no tiller at all. High times indeed, if whaling captains were wheeled about the water on castors like gouty old aldermen in patent chairs"", ""start"": 3421, ""end"": 3427}",False,False
